,province,competent_authority_number,brin_number,institution_name,street_name,house_number_supplement,post_code,city_name,municipal_number,municipal_name,denomination,telephone_number,internet_address,street_name_correspondence address,house_number_addition_correspondence_address,zip_code_correspondence_address,city_name_correspondence_address,nodal_area_code,nodal_area_name,rpa_area_code,rpa_area_name,wgr_area_code,wgr_area_name,corop_area_code,corop_area_name,education_area_code,education_area_name,rmc_region_code,rmc_region_name,type,education_structure,street_name_correspondence_address
12,Drenthe,32073,07AU,Kindcentrum De Wegwijzer,Homaat,2,9431 MK,WESTERBORK,1731,MIDDEN-DRENTHE,Protestants-Christelijk,593331305,www.wegwijzer-westerbork.nl,Postbus,44,9430 AA,WESTERBORK,11,Assen,5,Zuid- en Midden-Drenthe,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,4,Assen-Hoogeveen-Emmen,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
13,Drenthe,32073,07NN,Kindcentrum De Holtenhoek,Holtenweg,5,9481 CN,VRIES,1730,TYNAARLO,Protestants-Christelijk,592541644,www.deholtenhoek.nl,Postbus,25,9480 AA,VRIES,1,Groningen,3,Centraal-Groningen,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,1,Groningen en omstreken,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
14,Drenthe,32073,08PP,Kindcentrum De Schutkampen,Prins Hendrikstraat,2,9422 GJ,SMILDE,1731,MIDDEN-DRENTHE,Protestants-Christelijk,592414010,www.cbsdeschutkampen.nl,Prins Hendrikstraat,2,9422 GJ,SMILDE,11,Assen,5,Zuid- en Midden-Drenthe,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,4,Assen-Hoogeveen-Emmen,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
15,Drenthe,32073,09KO,Kindcentrum De Regenboog,Tuinstraat,5-B,9404 KK,ASSEN,106,ASSEN,Protestants-Christelijk,592316723,www.regenboogassen.nl,Tuinstraat,5-B,9404 KK,ASSEN,11,Assen,3,Centraal-Groningen,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,4,Assen-Hoogeveen-Emmen,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
16,Drenthe,32073,09QP,Kindcentrum Beatrix,Sportlaan,10,9411 BG,BEILEN,1731,MIDDEN-DRENTHE,Protestants-Christelijk,593522718,www.cbsprinsesbeatrix.nl,Postbus,147,9410 AC,BEILEN,11,Assen,5,Zuid- en Midden-Drenthe,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,4,Assen-Hoogeveen-Emmen,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
17,Drenthe,32073,10IL,Christelijk Kindcentrum Het Stroomdal,Esdoornlaan,1,9471 SH,ZUIDLAREN,1730,TYNAARLO,Protestants-Christelijk,504093170,www.stroomdal.nl,Esdoornlaan,1,9471 SH,ZUIDLAREN,1,Groningen,3,Centraal-Groningen,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,1,Groningen en omstreken,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
18,Drenthe,32073,10KN,Christelijk Dalton Kindcentrum De Eshorst,Esweg,106,9411 AK,BEILEN,1731,MIDDEN-DRENTHE,Protestants-Christelijk,593523159,www.eshorst.nl,Postbus,108,9410 AC,BEILEN,11,Assen,5,Zuid- en Midden-Drenthe,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,4,Assen-Hoogeveen-Emmen,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
19,Drenthe,32073,10YQ,Dalton Kindcentrum Jonglaren,Ludinge,6,9471 JD,ZUIDLAREN,1730,TYNAARLO,Protestants-Christelijk,504092079,www.jonglaren.nl,Ludinge,6,9471 JD,ZUIDLAREN,1,Groningen,3,Centraal-Groningen,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,1,Groningen en omstreken,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
20,Drenthe,32073,11KN,Kindcentrum De Lichtbaak,Amstelstraat,14-B,9406 TH,ASSEN,106,ASSEN,Protestants-Christelijk,592354150,www.delichtbaak.nl,Amstelstraat,14-B,9406 TH,ASSEN,11,Assen,3,Centraal-Groningen,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,4,Assen-Hoogeveen-Emmen,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
21,Drenthe,32073,11VZ,Christelijk Kindcentrum Het Kompas,Einthovenstraat,26,9402 CB,ASSEN,106,ASSEN,Protestants-Christelijk,592354234,www.kompasassen.nl,Einthovenstraat,26,9402 CB,ASSEN,11,Assen,3,Centraal-Groningen,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,4,Assen-Hoogeveen-Emmen,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
22,Drenthe,32073,12OR,Kindcentrum De Scharmhof,Scharmbarg,1,9407 EA,ASSEN,106,ASSEN,Protestants-Christelijk,592343800,www.scharmhof.nl,Scharmbarg,1,9407 EA,ASSEN,11,Assen,3,Centraal-Groningen,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,4,Assen-Hoogeveen-Emmen,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
23,Drenthe,32073,14ZS,Christelijk Kindcentrum Rehoboth,Rooilaan,154,7876 GW,VALTHERMOND,1681,BORGER-ODOORN,Protestants-Christelijk,599662367,www.rehoboth-school.nl,Rooilaan,154,7876 GW,VALTHERMOND,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
24,Drenthe,32073,21LS,Kindcentrum De Borg,Dusselheugte,13,9403 GN,ASSEN,106,ASSEN,Protestants-Christelijk,592370203,www.basisschooldeborg.nl,Dusselheugte,13,9403 GN,ASSEN,11,Assen,3,Centraal-Groningen,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,4,Assen-Hoogeveen-Emmen,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
25,Drenthe,32073,21QU,Kindcentrum De Tol,De Hilde,1,9472 WH,ZUIDLAREN,1730,TYNAARLO,Protestants-Christelijk,504091804,www.kcdetol.nl,De Hilde,1,9472 WH,ZUIDLAREN,1,Groningen,3,Centraal-Groningen,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,1,Groningen en omstreken,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
26,Drenthe,32073,27BM,Kindcentrum Het Krijt,Schoolstraat,29,9408 MB,ASSEN,106,ASSEN,Protestants-Christelijk,592460370,www.cbshetkrijt.nl,Schoolstraat,29,9408 MB,ASSEN,11,Assen,3,Centraal-Groningen,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,4,Assen-Hoogeveen-Emmen,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
27,Drenthe,32073,27WZ,Kindcentrum De Kloostertuin,Aletta Jacobsweg,80,9408 AM,ASSEN,106,ASSEN,Protestants-Christelijk,592350303,www.dekloostertuin.nl,Aletta Jacobsweg,80,9408 AM,ASSEN,11,Assen,3,Centraal-Groningen,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,4,Assen-Hoogeveen-Emmen,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
28,Drenthe,32073,31LD,CKC De Rietzanger,Borchsingel,39,9766 PP,EELDERWOLDE,1730,TYNAARLO,Protestants-Christelijk,502053399,www.ckcderietzanger.nl,Borchsingel,39,9766 PP,EELDERWOLDE,1,Groningen,3,Centraal-Groningen,7,Noord- en Midden-Drenthe,7,Noord-Drenthe,1,Groningen en omstreken,7,Noord- en Midden Drenthe,base school and (secondary) special education,,
29,Drenthe,40655,03GR,Het Mozaiek,De Stok,4,7913 RE,HOLLANDSCHEVELD,118,HOOGEVEEN,Protestants-Christelijk,528343291,www.pcbshetmozaiek.nl,Postbus,30,7913 ZG,HOLLANDSCHEVELD,14,Hoogeveen,5,Zuid- en Midden-Drenthe,9,Zuidwest-Drenthe,9,Zuidwest-Drenthe,4,Assen-Hoogeveen-Emmen,9,Zuid-West Drenthe,base school and (secondary) special education,,
30,Drenthe,40888,04FH,Sint Theresiaschool,Kerkweg,4,7741 PJ,COEVORDEN,109,COEVORDEN,Rooms-Katholiek,524514782,www.rkbstheresia.nl,Kerkweg,4,7741 PJ,COEVORDEN,13,Coevorden/Dalen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
31,Drenthe,40888,04ZO,Sint Willibrordus,Thorbeckestraat,1,7742 AJ,COEVORDEN,109,COEVORDEN,Rooms-Katholiek,524513531,www.willibrordusschool.nl,Thorbeckestraat,1,7742 AJ,COEVORDEN,13,Coevorden/Dalen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
32,Drenthe,40888,06GS,K B S De Plataan,Vledderstraat,3-E,7941 LC,MEPPEL,119,MEPPEL,Rooms-Katholiek,522251025,www.kbsdeplataan.nl,Vledderstraat,3-E,7941 LC,MEPPEL,15,Meppel,5,Zuid- en Midden-Drenthe,9,Zuidwest-Drenthe,9,Zuidwest-Drenthe,5,Zwolle-Meppel en omstreken,9,Zuid-West Drenthe,base school and (secondary) special education,,
33,Drenthe,40888,06MU,R.K. Basisschool Titus Brandsma,Herman Bavinckstraat,1,7901 BS,HOOGEVEEN,118,HOOGEVEEN,Rooms-Katholiek,528264115,www.tbschool.nl,Herman Bavinckstraat,1,7901 BS,HOOGEVEEN,14,Hoogeveen,5,Zuid- en Midden-Drenthe,9,Zuidwest-Drenthe,9,Zuidwest-Drenthe,4,Assen-Hoogeveen-Emmen,9,Zuid-West Drenthe,base school and (secondary) special education,,
34,Drenthe,40888,06QQ,St Franciscussch,Zuidersloot,61,7765 AG,WEITEVEEN,114,EMMEN,Rooms-Katholiek,524541495, ,Zuidersloot,61,7765 AG,WEITEVEEN,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
35,Drenthe,40888,06SF,Sint Gerardus Majella School,Europaweg,149,7766 AE,NIEUW-SCHOONEBEEK,114,EMMEN,Rooms-Katholiek,524541403, ,Europaweg,149,7766 AE,NIEUW-SCHOONEBEEK,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
36,Drenthe,40888,07QO,Rooms Katholieke Basisschool Panta Rhei,Jan van Scorelstraat,9,7741 XM,COEVORDEN,109,COEVORDEN,Rooms-Katholiek,524513467,www.pantarheischool.nl,Jan van Scorelstraat,9,7741 XM,COEVORDEN,13,Coevorden/Dalen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
37,Drenthe,40888,23VG,Montessorischool Het Element,De Karn,5,7908 NX,HOOGEVEEN,118,HOOGEVEEN,Algemeen bijzonder,528220300, ,De Karn,5,7908 NX,HOOGEVEEN,14,Hoogeveen,5,Zuid- en Midden-Drenthe,9,Zuidwest-Drenthe,9,Zuidwest-Drenthe,4,Assen-Hoogeveen-Emmen,9,Zuid-West Drenthe,base school and (secondary) special education,,
38,Drenthe,41052,03LC,Christelijke Basisschool De Fontein,Westrupstraat,10,7841 AZ,SLEEN,109,COEVORDEN,Protestants-Christelijk,591361910,www.fonteinsleen.nl,Westrupstraat,10,7841 AZ,SLEEN,13,Coevorden/Dalen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
39,Drenthe,41052,05OD,Protestants Christelijk Basisschool De Wegwijzer,Schoolweg,2,7917 PX,GEESBRUG,109,COEVORDEN,Protestants-Christelijk,524291600,www.wegwijzergeesbrug.nl,Schoolweg,2,7917 PX,GEESBRUG,13,Coevorden/Dalen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
40,Drenthe,41052,06ZY,Christelijke Basisschool de Schutse,Paardelandsdrift,9,7854 PR,AALDEN,109,COEVORDEN,Protestants-Christelijk,591371898,www.cbsdeschutse.nl,Paardelandsdrift,9,7854 PR,AALDEN,13,Coevorden/Dalen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
41,Drenthe,41052,07WO,Christelijke Basisschool De Slagkrooie,Ringstraat,22,7848 BW,SCHOONOORD,109,COEVORDEN,Protestants-Christelijk,591382412,www.cbsdeslagkrooie.nl,Ringstraat,22,7848 BW,SCHOONOORD,13,Coevorden/Dalen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
42,Drenthe,41052,08CT,Willem Alexanderschool,Oranjestraat,2,7753 TK,DALERPEEL,109,COEVORDEN,Protestants-Christelijk,524571956,www.waschooldp.nl,Oranjestraat,2,7753 TK,DALERPEEL,13,Coevorden/Dalen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
43,Drenthe,41052,10YA,Mijndert van der Thynenschool,Jan van Scorelstraat,11,7741 XM,COEVORDEN,109,COEVORDEN,Protestants-Christelijk,524513283,www.mvdthijnenschool.nl,Jan van Scorelstraat,11,7741 XM,COEVORDEN,13,Coevorden/Dalen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
44,Drenthe,41052,11LS,Paul Krugerschool,van Heutszsingel,9,7741 ER,COEVORDEN,109,COEVORDEN,Protestants-Christelijk,524516182,www.paulkrugerschool.nl,van Heutszsingel,9,7741 ER,COEVORDEN,13,Coevorden/Dalen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
45,Drenthe,41052,11WZ,Dr. Picardtschool,van Pallandtlaan,7,7742 WJ,COEVORDEN,109,COEVORDEN,Protestants-Christelijk,524512148,www.drpicardt.nl,van Pallandtlaan,7,7742 WJ,COEVORDEN,13,Coevorden/Dalen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
46,Drenthe,41196,04VK,Christelijke Basisschool De Wel,Burg. Haitsmalaan,7,7948 AE,NIJEVEEN,119,MEPPEL,Protestants-Christelijk,522490461,www.cbsdewel.nl,Burg. Haitsmalaan,7,7948 AE,NIJEVEEN,15,Meppel,5,Zuid- en Midden-Drenthe,9,Zuidwest-Drenthe,9,Zuidwest-Drenthe,5,Zwolle-Meppel en omstreken,9,Zuid-West Drenthe,base school and (secondary) special education,,
47,Drenthe,41196,05NN,Christelijke Basisschool De Fontein,Heuvelenweg,22-B,7991 CL,DWINGELOO,1701,WESTERVELD,Protestants-Christelijk,521593196,www.cbsdefonteindwingeloo.nl,Heuvelenweg,22-B,7991 CL,DWINGELOO,15,Meppel,5,Zuid- en Midden-Drenthe,9,Zuidwest-Drenthe,9,Zuidwest-Drenthe,5,Zwolle-Meppel en omstreken,9,Zuid-West Drenthe,base school and (secondary) special education,,
48,Drenthe,41196,05RN,Protestants Christelijke Basisschool Nijensleek,Hoofdweg,136,8383 EK,NIJENSLEEK,1701,WESTERVELD,Protestants-Christelijk,521381885,www.debroncbs.nl,Hoofdweg,136,8383 EK,NIJENSLEEK,15,Meppel,5,Zuid- en Midden-Drenthe,9,Zuidwest-Drenthe,9,Zuidwest-Drenthe,5,Zwolle-Meppel en omstreken,9,Zuid-West Drenthe,base school and (secondary) special education,,
49,Drenthe,41196,05SE,School met de Bijbel De Akker,Hoogeveenseweg,28,7933 PG,PESSE,118,HOOGEVEEN,Protestants-Christelijk,528262566,www.deakkerpesse.nl,Hoogeveenseweg,28,7933 PG,PESSE,14,Hoogeveen,5,Zuid- en Midden-Drenthe,9,Zuidwest-Drenthe,9,Zuidwest-Drenthe,4,Assen-Hoogeveen-Emmen,9,Zuid-West Drenthe,base school and (secondary) special education,,
50,Drenthe,41196,05SX,Protestants Christelijke Basisschool De Arendsvleugel,Bleekhof,2,7961 AW,RUINERWOLD,1690,DE WOLDEN,Protestants-Christelijk,522481344,www.dearendsvleugel.nl,Bleekhof,2,7961 AW,RUINERWOLD,14,Hoogeveen,5,Zuid- en Midden-Drenthe,9,Zuidwest-Drenthe,9,Zuidwest-Drenthe,4,Assen-Hoogeveen-Emmen,9,Zuid-West Drenthe,base school and (secondary) special education,,
51,Drenthe,41196,07LB,Basisschool Roosjen,Hoofdstraat,23,7981 AC,DIEVER,1701,WESTERVELD,Protestants-Christelijk,521591513,www.roosjenschool.nl,Hoofdstraat,23,7981 AC,DIEVER,15,Meppel,5,Zuid- en Midden-Drenthe,9,Zuidwest-Drenthe,9,Zuidwest-Drenthe,5,Zwolle-Meppel en omstreken,9,Zuid-West Drenthe,base school and (secondary) special education,,
52,Drenthe,41196,08PR,Prins Johan Frisoschool voor Christelijk Basisonderwijs,Prinses Christinalaan,8,7958 SK,KOEKANGE,1690,DE WOLDEN,Protestants-Christelijk,522451384,www.johanfrisoschool.nl,Prinses Christinalaan,8,7958 SK,KOEKANGE,14,Hoogeveen,5,Zuid- en Midden-Drenthe,9,Zuidwest-Drenthe,9,Zuidwest-Drenthe,4,Assen-Hoogeveen-Emmen,9,Zuid-West Drenthe,base school and (secondary) special education,,
53,Drenthe,41196,09NT,K.C. cbs De Heidevlinder,Heidelaan,1,7921 EA,ZUIDWOLDE DR,1690,DE WOLDEN,Protestants-Christelijk,528372772,www.cbsdeheidevlinder.nl,Heidelaan,1,7921 EA,ZUIDWOLDE DR,14,Hoogeveen,5,Zuid- en Midden-Drenthe,9,Zuidwest-Drenthe,9,Zuidwest-Drenthe,4,Assen-Hoogeveen-Emmen,9,Zuid-West Drenthe,base school and (secondary) special education,,
54,Drenthe,41551,03RZ,Christelijke Nationale Basisschool De Bron,Ganzenroer,2,7833 GH,NIEUW-AMSTERDAM,114,EMMEN,Protestants-Christelijk,591551293,www.cbs-debron.nl,Ganzenroer,2,7833 GH,NIEUW-AMSTERDAM,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
55,Drenthe,41551,04LL,'t Twiespan,Vredenveld,78,7824 CJ,EMMEN,114,EMMEN,Protestants-Christelijk,591622409,www.twiespan.nl,Vredenveld,78,7824 CJ,EMMEN,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
56,Drenthe,41551,04WD,Protestants Christelijke Basisschool Willem Alexander,Verlengde Vaart NZ,37,7887 EE,ERICA,114,EMMEN,Protestants-Christelijk,591301623,www.willem-alexander-erica.nl,Verlengde Vaart NZ,37,7887 EE,ERICA,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
57,Drenthe,41551,04XB,Basisschool De Bentetop,Weerdingerkanaal ZZ,163,7831 AK,NIEUW-WEERDINGE,114,EMMEN,Protestants-Christelijk,591521405,www.bentetop.nl,Weerdingerkanaal ZZ,163,7831 AK,NIEUW-WEERDINGE,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
58,Drenthe,41551,05KX,cb de Zwaluw,Zandpolstraat,9,7764 AK,ZANDPOL,114,EMMEN,Protestants-Christelijk,591552655,www.cbdezwaluw.nl,Zandpolstraat,9,7764 AK,ZANDPOL,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
59,Drenthe,41551,06KW,Het Anker Protestants Christelijke Jenaplanschool,Distelvink,107,7827 DD,EMMEN,114,EMMEN,Protestants-Christelijk,591630597,www.hetankeremmen.nl,Distelvink,107,7827 DD,EMMEN,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
60,Drenthe,41551,07NY,Groen van Prinstererschool,Dr. H. Blinkstraat,5,7815 VH,EMMEN,114,EMMEN,Protestants-Christelijk,591612464,www.groenvprinsterer.nl,Dr. H. Blinkstraat,5,7815 VH,EMMEN,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe,base school and (secondary) special education,,
